,text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,retweeted,longitude,latitude
14,"""She'll start thinking about him then she's ready to fight, blames her broken heart on every man in sight, on a straight tequila night.""",FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,web,cheyennesupreme,0,FALSE,NA,NA
15,RT @intoxiKyled: Did a tequila slammer and remembered doing them with @Saks_attack &amp; @danny_damiani. This needs to happen again,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Saks_attack,1,FALSE,NA,NA
16,RT @kenziee_bug: You and tequila make me crazyyy,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SheBee_KillinEm,1,FALSE,NA,NA
17,RT @mr_jmburnside: “@iNURSELISA: son of a fucking bitch #RedSox”Bring on the tequila! <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",iNURSELISA,1,FALSE,NA,NA
18,RT @BellaxLuna: You drink henny but can't hack tequila ?! There's a problem!,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_xMariaa,1,FALSE,NA,NA
19,"RT @PartySexDrugs: I didn't take my pants off, tequila did.",FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BabesDaiIy,133,FALSE,NA,NA
20,My legs are soo smooth,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tequila_Babyy,0,FALSE,NA,NA
21,"RT @psjohnson23: @TheToady Swords &amp; Tequila, carry me thru the night, Swords &amp; Tequila, carry me thru the fight!",FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,web,TheToady,1,FALSE,NA,NA
22,@dajebaby soon as possible,FALSE,dajebaby,8/9/2013 2:39,FALSE,3.65662E+17,3.65664E+17,328226892,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tequila_Babyy,0,FALSE,NA,NA
23,RT @megustachiz: When life gives you lemons .... you take a shot .... of Tequila <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jasmichelle,1,FALSE,NA,NA
24,My cousins and I finished almost a full handle of tequila tonight between the 3 of us so.. Tomorrow morning will be fun #idontcare #iloveit,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KellyRussell928,0,FALSE,NA,NA
25,"LMFAO ...Jail, We Going Jail..",FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",tequila_lipz,0,FALSE,NA,NA
26,"“@ptvmike: Bout to hop on the tequila express in Guadalajara, Mexico! Wish me luck <ed><U+00A0><U+00BD><ed><U+00B8><U+009D> http://t.co/8vn44BU10H” I'm from Guadalajara <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",FALSE,ptvmike,8/9/2013 2:39,FALSE,3.56052E+17,3.65664E+17,18253611,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TaizManianDevil,0,FALSE,NA,NA
27,RT @Zubiiia: “@ClaireyJlovette: Don't give me tequila though. Tequila makes me do embarrassing things” tequila is a big NO,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",JeffRodriguez2,1,FALSE,NA,NA
28,RT @MariaNuzzi: Tila tequila- fuck your man. If you know the lyrics I <U+2764> you. @rosekudrick @DannyJCampbell,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DannyJCampbell,1,FALSE,NA,NA
29,"@TheToady Swords &amp; Tequila, carry me thru the night, Swords &amp; Tequila, carry me thru the fight!",FALSE,TheToady,8/9/2013 2:39,FALSE,3.65663E+17,3.65664E+17,263471041,web,psjohnson23,1,FALSE,NA,NA
30,"@HotBigSis it's cool, I had a conversation about tequila earlier @totser1625 #timing",FALSE,HotBigSis,8/9/2013 2:39,FALSE,3.65658E+17,3.65664E+17,1101225235,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DatDudeBH2,0,FALSE,NA,NA
31,"Botox, Hemorrhoids, and Tequila - via @shoeboxbegone http://t.co/EU4MynrpLx",FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65664E+17,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",shoeboxbegone,0,FALSE,NA,NA
32,“@AntiJokeTyrone: Why did the Mexican throw his wife off a cliff? Tequila.”,FALSE,AntiJokeTyrone,8/9/2013 2:39,FALSE,3.65651E+17,3.65664E+17,631540622,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",thirdyaquino,0,FALSE,NA,NA
33,RT @J0hnnyBlaze: Tequila is Spanish for naked,FALSE,NA,8/9/2013 2:39,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Casandra_2012,63,FALSE,NA,NA
34,@Minnici_mermaid I like coffeee and I like rum... But you know there is coffee flavored tequila it's fantastic,FALSE,Minnici_mermaid,8/9/2013 2:39,FALSE,3.65663E+17,3.65663E+17,448111170,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",makjenkiiiies,0,FALSE,NA,NA
35,“@iNURSELISA: son of a fucking bitch #RedSox”Bring on the tequila! <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>,FALSE,iNURSELISA,8/9/2013 2:39,FALSE,3.65662E+17,3.65663E+17,524727014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mr_jmburnside,1,FALSE,NA,NA
36,@alhm12 aug 10 Juan Rivera is gonna be there! They're premiering jenni's tequila,FALSE,alhm12,8/9/2013 2:39,FALSE,3.65661E+17,3.65663E+17,399059759,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ViridianaVazq13,0,FALSE,NA,NA
37,You and tequila make me crazyyy,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kenziee_bug,1,FALSE,NA,NA
38,@AlexannaKarges @Morgyy17 i guess the only thing to do then is tequila shots!,FALSE,AlexannaKarges,8/9/2013 2:38,FALSE,3.65663E+17,3.65663E+17,392499250,web,AKuck34,0,FALSE,NA,NA
39,"I didn't take my pants off, tequila did.",FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",ThePrettyBitchz,0,FALSE,NA,NA
40,tequila makes our clothes fall off! <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",laneymarie30,0,FALSE,NA,NA
41,"@DownworlderMaia Forget the beer. Right now I need a shot of tequila, some bleach for my brain, and a cold shower. Ugh.",FALSE,DownworlderMaia,8/9/2013 2:38,FALSE,3.65663E+17,3.65663E+17,132878409,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClaryAFray,0,FALSE,NA,NA
42,RT @Awkward_Pics: He deserves endless retweets! http://t.co/YwtCgABTz5,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tequila_grande1,68,FALSE,NA,NA
43,The best feeling is when you think you don't have tequila but then realize your margarita mix already has tequila in it <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #SCORE,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AS1AN_INVASION,0,FALSE,NA,NA
44,RT @ashleyy_162: Played flip cup and had shots of tequila with my dad and @vgx0 <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #greatparenting,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vgx0,1,FALSE,NA,NA
45,RT @BaaabyBrook: You &amp; tequila make me crazy,FALSE,NA,8/9/2013 2:38,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IlovedrakeG,1,FALSE,NA,NA
46,RT @tprzilas: I need limes. #oneofthosenights #tequila,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jillywow92,1,FALSE,NA,NA
47,Takin Tequila shots back 2 back #TurnUp,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GADntPlay,0,FALSE,NA,NA
48,"I played with your heart, got lost in the game #oopsididitagain",FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,web,keela_tequila,0,FALSE,NA,NA
49,LMFAOOO Ivan :'),FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",tequila_lipz,0,FALSE,NA,NA
50,RT @lisadaniels3: Tequila tasting with angie #instamood #instadaily #instagood #summer  #tequila http://t.co/iyt8TDIxzx,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://www.springfresh.us/"" rel=""nofollow"">ExploringAPI</a>",SpringFreshXXX,2,FALSE,NA,NA
51,@JessTolentino go take a shot or two of Tequila.,FALSE,JessTolentino,8/9/2013 2:37,FALSE,3.65663E+17,3.65663E+17,25184058,web,cctejada,0,FALSE,NA,NA
52,tequila shots in a bowling alley w my applebuddies,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chelseaxdeef,0,FALSE,NA,NA
53,RT @CHEETAHdelo31: Tequila shots for the bday girl!! <ed><U+00A0><U+00BC><ed><U+00BE><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BC><ed><U+00BE><U+008A><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><ed><U+00A0><U+00BC><ed><U+00BD><U+00B9>@KatieColletti @KellyColletti @SPARKLEdelo @JillianColletti,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JillianColletti,1,FALSE,NA,NA
54,Fat good makes me happy... It's like tequila <ed><U+00A0><U+00BC><ed><U+00BD><U+009F>,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shaelobbezoo,0,FALSE,NA,NA
55,You &amp; tequila make me crazy,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BaaabyBrook,1,FALSE,NA,NA
56,I need limes. #oneofthosenights #tequila,FALSE,NA,8/9/2013 2:37,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tprzilas,1,FALSE,NA,NA
57,@kristyknox it ain't living if there's no tequila!!!! Or vodka... Or wine... Or....,FALSE,kristyknox,8/9/2013 2:37,FALSE,3.65662E+17,3.65663E+17,36448424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Miakoda221,0,FALSE,NA,NA
58,@NatLemon with tequila,FALSE,NatLemon,8/9/2013 2:36,FALSE,3.65662E+17,3.65663E+17,37698539,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MattL3m0n,0,FALSE,NA,NA
59,Celebrating life! Salud! High five to a great #tequila brand @123tequila http://t.co/fX9xeZN48f,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tequilaamiga,0,FALSE,NA,NA
60,I fucking love tequila,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",barthopper5000,0,FALSE,NA,NA
61,Cold Beer? Tequila? Or a Triple shot of Jack? — Um I don't drink. http://t.co/tKgjQhiMBi,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://ask.fm/"" rel=""nofollow"">Ask.fm</a>",KaelyKautz,0,FALSE,NA,NA
62,"RT @ptvmike: Bout to hop on the tequila express in Guadalajara, Mexico! Wish me luck <ed><U+00A0><U+00BD><ed><U+00B8><U+009D> http://t.co/JvlAMATo0u",FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",piercextheveil,251,FALSE,NA,NA
63,Tequila makes my throat soo warm &lt;3,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",__MangoJo7,0,FALSE,NA,NA
64,To anyone who wants to drink some tequila tonight,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Vegasdipper,0,FALSE,NA,NA
65,@krishaM RT @_DannyTosh_: Oh hey there Tequila! Catch ya later dignity.,FALSE,krishaM,8/9/2013 2:36,FALSE,NA,3.65663E+17,15107561,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jooliepoison,0,FALSE,NA,NA
66,Tequila shots after your prime....yea I'm going to be hurting tomorrow. #ThirstyThursday,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DeeZee_Lizette,0,FALSE,NA,NA
67,RT @Bryzzle919: @AmendmentXXIHSV Jerk Chicken Wing with my famous Pimpin Pink Sauce tonight. Tequila Tuesday. http://t.co/1j7u8pHs4s,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pimpinpinkwings,1,FALSE,NA,NA
68,Tequila Night! <U+2764> @ En Route Distillery http://t.co/g6uGnISVW2,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",IcaTamis,0,FALSE,NA,NA
69,so I won't be drinking any AdiosMotherfuckers tonight... or tequila! so I ain't got no worries! <U+270C><U+263A>,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FeistySimba,0,FALSE,NA,NA
70,O got 15 IG videos thats failed cuz Mexico wifi SUCKS vut the tequila is KICK ASS,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Paycation_Ant,0,FALSE,NA,NA
71,RT @_DannyTosh_: Oh hey there Tequila! Catch ya later dignity.,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lawlzatdrewp,17,FALSE,NA,NA
72,RT @J0hnnyBlaze: Tequila is Spanish for naked,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KayHipster,63,FALSE,NA,NA
73,Housesitting for my parents... highly considering finishing their tequila http://t.co/XPdWlOvnRh,FALSE,NA,8/9/2013 2:36,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",blair2019,0,FALSE,NA,NA
74,Thanks my brother/tequila expert @Tr3demption Nope! RT @RUBIX_3_1906: Does margarita mix get old? #AskTwitter,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>",RUBIX_3_1906,0,FALSE,NA,NA
75,RT @Country_Words: You and tequila make me crazy. -Kenny Chesney,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",juliapasseri,761,FALSE,NA,NA
76,Tequila night after margaritas...WINNING!!,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>",Ms__YellaBone,0,FALSE,NA,NA
77,LMFAO,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",tequila_lipz,0,FALSE,NA,NA
78,RT @megaline09: I love tequila.,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emilywillyims,2,FALSE,NA,NA
79,Another great pic from tequila Carl! http://t.co/3jpxHRpz42,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kimiliff,0,FALSE,NA,NA
80,Bouta finish off this tequila bottle,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65663E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",roseykiss,0,FALSE,NA,NA
81,Salucita de la buena<ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>#cheers #thursday #relax #tequila http://t.co/MaOKcALIQk,FALSE,NA,8/9/2013 2:35,FALSE,NA,3.65662E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Fishercastell,0,FALSE,NA,NA
82,“@AntiJokeTyrone: Why did the Mexican throw his wife off a cliff? Tequila.” @Savylynn7 <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,FALSE,AntiJokeTyrone,8/9/2013 2:34,FALSE,3.65651E+17,3.65662E+17,631540622,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",victoriaalehn,0,FALSE,NA,NA
83,"""@LexieRodriguez3: Don't ask her on a straight tequila night, she'll start thinking about him.""",FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",jessmichellebry,0,FALSE,NA,NA
84,Oh. GIRLS NIGHT. Hashtag tequila #fuckyou @ainsleytee @ABeaupree @AubsesB @amberlynnabel @hillboozy http://t.co/VNUU3qBwqQ,FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kelM0,1,FALSE,NA,NA
85,RT @megaline09: I love tequila.,FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",madisondel,2,FALSE,NA,NA
86,"RT @MackCoreyMitch: “@Renn_C: ""If it weren't for tequila &amp; pretty senoritas, I'd have no reason to stayyyy""”<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Renn_C,1,FALSE,NA,NA
87,My mom would get me tequila from Mexico...<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #SheKnowsMe http://t.co/1QRfVq0mqR,FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://www.apple.com"" rel=""nofollow"">Photos on iOS</a>",PollyThndrcloud,0,FALSE,NA,NA
88,RT @BipolarBetty3: Got these gummy bears soaking in tequila,FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LuvinMelroze,1,FALSE,NA,NA
89,"Oh tequila my old friend, it's been awhile #letthenightbegin",FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dannyavalos,0,FALSE,NA,NA
90,"You're 15, you can't handle a whole bottle of vodka, whiskey, gin, or tequila.",FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sedruol__,0,FALSE,NA,NA
91,@Ytina92 hahaha fine we start with Barcadi then but u working up to tequila u gotta feel the Spanish flow lol <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>,FALSE,Ytina92,8/9/2013 2:34,FALSE,3.65662E+17,3.65662E+17,353120998,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Harrbear657,0,FALSE,NA,NA
92,"when I take a shot of tequila it's game
over",FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheRealGregLynn,0,FALSE,NA,NA
93,When life gives you lemons .... you take a shot .... of Tequila <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>,FALSE,NA,8/9/2013 2:34,FALSE,NA,3.65662E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",megustachiz,1,FALSE,NA,NA
